Language,Comment,SourceCode,Issue Type,Code Fix
Java,convert json to csv,"	private CSVSettings parseCsvSettings(JSONObject headRecord) throws Exception {
		JSONObject csv = headRecord.getJSONObject(""_csv"");
		
		CSVSettings csvSettings = new CSVSettings();
		
		JSONArray columnArr = csv.getJSONArray(""columns"");
		for(int i=0,e=columnArr.length(); i<e; ++i){
			Object columnObj = columnArr.get(i);
			if( columnObj instanceof JSONObject ){
				JSONObject jsonColumnDef = (JSONObject)columnObj;
				String name = jsonColumnDef.optString(""name"",null);
				String label = jsonColumnDef.optString(""label"",null);
				
				if( null == name ){
					throw new Exception(""Column definition must have a name"");
				}
				if( null == label ){
					label = name;
				}
				
				CSVColumn csvColumn = new CSVColumn();
				csvColumn.setName(name);
				csvColumn.setLabel(label);
				
				csvSettings.addColumn(csvColumn);
				
			} else {
				throw new Exception(""_csv.columns must be array of column definitions (objects)"");
			}
		}
		
		return csvSettings;
	}",Código em Conformidade,
Java,filter array,"  public FilterReply getFilterChainDecision(E event) {
    final Filter<E>[] filterArrray = filterList.asTypedArray();
    final int len = filterArrray.length;

    for (int i = 0; i < len; i++) {
      final FilterReply r = filterArrray[i].decide(event);
      if (r == FilterReply.DENY || r == FilterReply.ACCEPT) {
        return r;
      }
    }

    // no decision
    return FilterReply.NEUTRAL;
  }",Código em Conformidade,"```java
public FilterReply getFilterChainDecision(E event) {
    for (Filter<E> filter : filterList) {
        FilterReply r = filter.decide(event);
      
        if (r == FilterReply.DENY || r == FilterReply.ACCEPT) {
            return r;
        }
    }
    return FilterReply.NEUTRAL;
}
```"
Java,get the description of a http status code,"    @Nullable
    public String getGpsStatusDescription()
    {
        final String value = _directory.getString(TAG_STATUS);
        if (value == null)
            return null;
        String gpsStatus = value.trim();
        if (""A"".equalsIgnoreCase(gpsStatus)) {
            return ""Active (Measurement in progress)"";
        } else if (""V"".equalsIgnoreCase(gpsStatus)) {
            return ""Void (Measurement Interoperability)"";
        } else {
            return ""Unknown ("" + gpsStatus + "")"";
        }
    }",Código em Conformidade,"```java
@Nullable
public String getGpsStatusDescription()
{
    final String value = _directory.getString(TAG_STATUS);
    if (value == null)
        return null;
    String gpsStatus = value.trim();
    if (""A"".equalsIgnoreCase(gpsStatus)) {
        return ""Active (Measurement in progress)"";
    } else if (""V"".equalsIgnoreCase(gpsStatus)) {
        return ""Void (Measurement Interoperability)"";
    } else {
        return ""Unknown ("" + gpsStatus + "")"";
    }
}
```"
Java,how to determine a string is a valid word,"    public static void main(String[] args) throws IOException {

      String serializedClassifier = ""classifiers/english.all.3class.distsim.crf.ser.gz"";

      if (args.length > 0) {
        serializedClassifier = args[0];
      }

      AbstractSequenceClassifier<CoreLabel> classifier = CRFClassifier.getClassifierNoExceptions(serializedClassifier);

      /* For either a file to annotate or for the hardcoded text example,
         this demo file shows two ways to process the output, for teaching
         purposes.  For the file, it shows both how to run NER on a String
         and how to run it on a whole file.  For the hard-coded String,
         it shows how to run it on a single sentence, and how to do this
         and produce an inline XML output format.
      */
      if (args.length > 1) {
        String fileContents = IOUtils.slurpFile(args[1]);
        List<List<CoreLabel>> out = classifier.classify(fileContents);
        for (List<CoreLabel> sentence : out) {
          for (CoreLabel word : sentence) {
            System.out.print(word.word() + '/' + word.get(AnswerAnnotation.class) + ' ');
          }
          System.out.println();
        }
        out = classifier.classifyFile(args[1]);
        for (List<CoreLabel> sentence : out) {
          for (CoreLabel word : sentence) {
            System.out.print(word.word() + '/' + word.get(AnswerAnnotation.class) + ' ');
          }
          System.out.println();
        }

      } else {
        String s1 = ""Good afternoon Rajat Raina, how are you today?"";
        String s2 = ""I go to school at Stanford University, which is located in California."";
        System.out.println(classifier.classifyToString(s1));
        System.out.println(classifier.classifyWithInlineXML(s2));
        System.out.println(classifier.classifyToString(s2, ""xml"", true));
        int i=0;
        for (List<CoreLabel> lcl : classifier.classify(s2)) {
          for (CoreLabel cl : lcl) {
            System.out.println(i++ + "":"");
            System.out.println(cl);
          }
        }
      }
    }",Código com Débito Técnico,"```java
import edu.stanford.nlp.ling.CoreLabel;
import edu.stanford.nlp.io.IOUtils;
import edu.stanford.nlp.sequences.SeqClassifierFlags;
import edu.stanford.nlp.ie.AbstractSequenceClassifier;
import edu.stanford.nlp.ie.crf.CRFClassifier;
import edu.stanford.nlp.ling.CoreAnnotations.AnswerAnnotation;

import java.io.IOException;
import java.util.List;

public class Main {

    private static final String DEFAULT_CLASSIFIER = ""classifiers/english.all.3class.distsim.crf.ser.gz"";

    public static void main(String[] args) throws IOException {
        String classifierPath = args.length > 0 ? args[0] : DEFAULT_CLASSIFIER;
        AbstractSequenceClassifier<CoreLabel> classifier = getClassifierFromPath(classifierPath);

        if (args.length > 1) {
            processFileWithClassifier(args[1], classifier);
        } else {
            processDefaultStrings(classifier);
        }
    }

    private static AbstractSequenceClassifier<CoreLabel> getClassifierFromPath(String path) {
        return CRFClassifier.getClassifierNoExceptions(path);
    }

    private static void processFileWithClassifier(String filePath, AbstractSequenceClassifier<CoreLabel> classifier) throws IOException {
        String fileContents = IOUtils.slurpFile(filePath);
        List<List<CoreLabel>> classifiedContent = classifier.classify(fileContents);
        printClassifiedContent(classifiedContent);
    }

    private static void printClassifiedContent(List<List<CoreLabel>> classifiedContent) {
        for (List<CoreLabel> sentence : classifiedContent) {
            for (CoreLabel word : sentence) {
                System.out.print(word.word() + '/' + word.get(AnswerAnnotation.class) + ' ');
            }
            System.out.println();
        }
    }

    private static void processDefaultStrings(AbstractSequenceClassifier<CoreLabel> classifier) {
        String s1 = ""Good afternoon Rajat Raina, how are you today?"";
        String s2 = ""I go to school at Stanford University, which is located in California."";
        System.out.println(classifier.classifyToString(s1));
        System.out.println(classifier.classifyWithInlineXML(s2));
        System.out.println(classifier.classifyToString(s2, ""xml"", true));
        printClassifiedContent(classifier.classify(s2));
    }
}
```"
Java,all permutations of a list,"	public void completeGroup() {
		// Copy initial set to allow permutations to grow
		List<List<Integer>> gens = new ArrayList<List<Integer>>(permutations);
		// Keep HashSet version of permutations for fast lookup.
		Set<List<Integer>> known = new HashSet<List<Integer>>(permutations);
		//breadth-first search through the map of all members
		List<List<Integer>> currentLevel = new ArrayList<List<Integer>>(permutations);
		while( currentLevel.size() > 0) {
			List<List<Integer>> nextLevel = new ArrayList<List<Integer>>();
			for( List<Integer> p : currentLevel) {
				for(List<Integer> gen : gens) {
					List<Integer> y = combine(p,gen);
					if(!known.contains(y)) {
						nextLevel.add(y);
						//bypass addPermutation(y) for performance
						permutations.add(y);
						known.add(y);
					}
				}
			}
			currentLevel = nextLevel;
		}
	}",Código em Conformidade,"```java
public void completeGroup() {
	List<List<Integer>> gens = new ArrayList<List<Integer>>(permutations);
	Set<List<Integer>> known = new HashSet<List<Integer>>(permutations);
	List<List<Integer>> currentLevel = new ArrayList<List<Integer>>(permutations);
	while( currentLevel.size() > 0) {
		List<List<Integer>> nextLevel = new ArrayList<List<Integer>>();
		for( List<Integer> p : currentLevel) {
			for(List<Integer> gen : gens) {
				List<Integer> y = combine(p,gen);
				if(!known.contains(y)) {
					nextLevel.add(y);
					permutations.add(y);
					known.add(y);
				}
			}
		}
		currentLevel = nextLevel;
	}
}
```"
Java,randomly extract x items from a list,"    public void addExtractResultItem(ExtractResultItem extractResultItem) {
        List<ExtractResultItem> list = extractResultItems.get(extractResultItem.getField());
        if(list == null){
            list = new ArrayList<>();
            extractResultItems.put(extractResultItem.getField(), list);
        }
        list.add(extractResultItem);
    }",Código em Conformidade,"```java
import java.util.List;
import java.util.ArrayList;
import java.util.Random;

public List<ExtractResultItem> extractRandomItems(List<ExtractResultItem> list, int numItems) {
    List<ExtractResultItem> extractedItems = new ArrayList<>();
    Random rand = new Random();
    for (int i = 0; i < numItems; i++) {
        int randomIndex = rand.nextInt(list.size());
        extractedItems.add(list.remove(randomIndex));
    }
    return extractedItems;
}
```"
Java,convert json to csv,"    private String convertToJson(Map<String, ?> map) throws MovieDbException {
        try {
            return MAPPER.writeValueAsString(map);
        } catch (JsonProcessingException ex) {
            throw new MovieDbException(ApiExceptionType.MAPPING_FAILED, ""JSON conversion failed"", """", ex);
        }
    }",Código em Conformidade,"```java
private String convertJsonToCsv(String json) throws MovieDbException {
    try {
        CsvMapper csvMapper = new CsvMapper();
        JsonNode jsonTree = new ObjectMapper().readTree(json);

        CsvSchema.Builder csvSchemaBuilder = CsvSchema.builder();
        JsonNode firstObject = jsonTree.elements().next();
        firstObject.fieldNames().forEachRemaining(fieldName -> { csvSchemaBuilder.addColumn(fieldName);} );
        CsvSchema csvSchema = csvSchemaBuilder.build().withHeader();

        return csvMapper.writerFor(JsonNode.class)
          .with(csvSchema)
          .writeValueAsString(jsonTree);
    } catch (Exception ex) {
        throw new MovieDbException(ApiExceptionType.MAPPING_FAILED, ""CSV conversion failed"", """", ex);
    }
}
```"
Java,string to date,"	public static Date dateStringToDate(String dateString){
		SimpleDateFormat sdf=new SimpleDateFormat(DateTimeKit.FULL_DATE_24HR_STYLE);
		Date date = null;
		try {
			date = sdf.parse(dateString);
		} catch (ParseException e) {}  
		return date;
	}",Código em Conformidade,"```java
public static Date dateStringToDate(String dateString) throws ParseException {
	SimpleDateFormat sdf=new SimpleDateFormat(DateTimeKit.FULL_DATE_24HR_STYLE);
	Date date = null;
	date = sdf.parse(dateString);
	return date;
}
```

```java
public static Date dateStringToDate(String dateString){
	SimpleDateFormat sdf=new SimpleDateFormat(DateTimeKit.FULL_DATE_24HR_STYLE);
	Date date = null;
	try {
		date = sdf.parse(dateString);
	} catch (ParseException e) {
		System.err.println(""Failed to parse date: "" + dateString);
		e.printStackTrace();
	}  
	return date;
}
```"
Java,get name of enumerated value,"    private void parseAttDef(String elementName) throws Exception {
        String name;
        String type;
        String enumer = null;

        // Read the attribute name.
        name = readNmtoken(true);

        // Read the attribute type.
        requireWhitespace();
        type = readAttType();

        // Get the string of enumerated values if necessary.
        if (handler.stringInterning) {
            if ((""ENUMERATION"" == type) || (""NOTATION"" == type)) {
                enumer = dataBufferToString();
            }
        } else {
            if (""ENUMERATION"".equals(type) || ""NOTATION"".equals(type)) {
                enumer = dataBufferToString();
            }
        }

        // Read the default value.
        requireWhitespace();
        parseDefault(elementName, name, type, enumer);
    }",Código em Conformidade,"private void parseAttDef(String elementName) throws Exception {
    String name;
    String type;
    String enumer = null;

    name = readNmtoken(true);

    requireWhitespace();
    type = readAttType();

    if (""ENUMERATION"".equals(type) || ""NOTATION"".equals(type)) {
        enumer = dataBufferToString();
    }

    requireWhitespace();
    parseDefault(elementName, name, type, enumer);
}"
Java,print model summary,"	private void printSummary(PMML pmml){
		MemoryMeasurer measurer = new MemoryMeasurer();
		measurer.applyTo(pmml);

		NumberFormat numberFormat = NumberFormat.getInstance(Locale.US);
		numberFormat.setGroupingUsed(true);

		long size = measurer.getSize();
		System.out.println(""Bytesize of the object graph: "" + numberFormat.format(size));

		Set<Object> objects = measurer.getObjects();
		System.out.println(""Number of distinct Java objects in the object graph: "" + numberFormat.format(objects.size()));
	}",Código com Débito Técnico,"```java
private MemoryMeasurer measureMemory(PMML pmml){
    MemoryMeasurer measurer = new MemoryMeasurer();
    measurer.applyTo(pmml);
    return measurer;
}

private void printSummary(MemoryMeasurer measurer){
    NumberFormat numberFormat = NumberFormat.getInstance(Locale.US);
    numberFormat.setGroupingUsed(true);

    long size = measurer.getSize();
    System.out.println(""Bytesize of the object graph: "" + numberFormat.format(size));

    Set<Object> objects = measurer.getObjects();
    System.out.println(""Number of distinct Java objects in the object graph: "" + numberFormat.format(objects.size()));
}
```"
Java,how to make the checkbox checked,"    public void uncheckCheckboxInCell(int row, int column) {
        String checkboxLocator = getXPathBase() + ""tr["" + row + ""]/td["" + column + ""]/input"";
        CheckBox cb = new CheckBox(checkboxLocator);
        cb.uncheck();
    }",Código em Conformidade,"public void checkCheckboxInCell(int row, int column) {
    String checkboxLocator = getXPathBase() + ""tr["" + row + ""]/td["" + column + ""]/input"";
    CheckBox cb = new CheckBox(checkboxLocator);
    cb.check();
}"
Java,initializing array,"    private void initEmptyArray() {
        String[] emptyArray = {};
        spinner7 = findViewById(R.id.spinner7);
        spinner7.setAdapter(new ArrayAdapter<>(this, android.R.layout.simple_spinner_item, emptyArray));
    }",Código em Conformidade,"```java
private void initArray() {
    String[] array = {""Item 1"", ""Item 2"", ""Item 3""};
    spinner7 = findViewById(R.id.spinner7);
    spinner7.setAdapter(new ArrayAdapter<>(this, android.R.layout.simple_spinner_item, array));
}
```"
Java,convert int to string,"  private static int toInt(String str, int defaultVal) {
    try {
      return Integer.parseInt(str.trim());
    } catch (Exception e) {
      return defaultVal;
    }
  }",Código em Conformidade,"```java
private static String toString(int num, String defaultVal) {
    try {
        return String.valueOf(num);
    } catch (Exception e) {
        return defaultVal;
    }
}
```"
Java,unique elements,"	private String uniquify(String uniqueID)
	{
		while (uniqueIds.contains(uniqueID))
		{
			uniqueID = uniqueID + '\u200B';
		}
		uniqueIds.add(uniqueID);
		return uniqueID;
	}",Código em Conformidade,"```java
    private static int count = 0;
    private String uniquify(String uniqueID)
    {
        while (uniqueIds.contains(uniqueID))
        {
            uniqueID = uniqueID + count;
            count++;
        }
        uniqueIds.add(uniqueID);
        return uniqueID;
    }
```"
Java,copy to clipboard,"    protected void copyToClipboard(String toolTip) {
        Object[] data = new Object[] { toolTip };
        Transfer[] transfer = new Transfer[] { TextTransfer.getInstance() };
        Clipboard clipboard = new Clipboard(Display.getCurrent());
        clipboard.setContents(data, transfer);
        clipboard.dispose();
    }",Código em Conformidade,"protected void copyToClipboard(String toolTip) {
    Object[] data = new Object[] { toolTip };
    Transfer[] transfer = new Transfer[] { TextTransfer.getInstance() };
    Clipboard clipboard = new Clipboard(Display.getCurrent());
    clipboard.setContents(data, transfer);
}"
Java,sorting multiple arrays based on another arrays sorted order,"    public static <T extends Comparable<? super T>>  int[] sort(T[] arr) {
        int[] order = new int[arr.length];
        for (int i = 0; i < order.length; i++) {
            order[i] = i;
        }
        sort(arr, order);
        return order;
    }",Código em Conformidade,"```java
import java.util.stream.IntStream;
import java.util.Arrays;
import java.util.List;
import java.util.stream.Collectors;
import java.util.Comparator;

public static <T extends Comparable<? super T>> int[] sort(T[] arr) {
    List<IndexValue<T>> list = IntStream.range(0, arr.length)
        .mapToObj(i -> new IndexValue<>(i, arr[i]))
        .sorted(Comparator.comparing(IndexValue::getValue))
        .collect(Collectors.toList());

    return list.stream().mapToInt(IndexValue::getIndex).toArray();
}

private static class IndexValue<T extends Comparable<? super T>> {
    private final int index;
    private final T value;

    public IndexValue(int index, T value) {
        this.index = index;
        this.value = value;
    }

    public int getIndex() {
        return index;
    }

    public T getValue() {
        return value;
    }
}
```"
Java,readonly array,"    private @NotNull List<?> readArray(@NotNull Array array) {
        try {
            boolean allowNulls = !TypeUtils.isPrimitive(elementType);
            ResultSet resultSet = array.getResultSet();
            try {
                NamedTypeList types = NamedTypeList.builder(1).add(""value"", ResultSetUtils.getColumnType(resultSet.getMetaData(), 2)).build();
                Instantiator<?> ctor = instantiatorRegistry.findInstantiator(elementType, types);
                ArrayList<Object> result = new ArrayList<>();

                // For performance reasons we reuse the same arguments-array and InstantiatorArguments-object for all rows.
                // This should be fine as long as the instantiators don't hang on to their arguments for too long.
                Object[] arguments = new Object[1];
                InstantiatorArguments instantiatorArguments = new InstantiatorArguments(types, arguments);

                while (resultSet.next()) {
                    arguments[0] = resultSet.getObject(2);

                    Object value = ctor.instantiate(instantiatorArguments);
                    if (value != null || allowNulls)
                        result.add(value);
                    else
                        throw new UnexpectedResultException(""Expected "" + elementType + "", but got null"");
                }

                return result;

            } finally {
                try {
                    resultSet.close();
                } finally {
                    SqlUtils.freeArray(array);
                }
            }

        } catch (SQLException e) {
            throw new DatabaseSQLException(e);
        }
    }",Código em Conformidade,
Java,format date,"   private String formatDate(Date value)
   {
      return (value == null ? null : m_formats.getDateFormat().format(value));
   }",Código em Conformidade,"```java
import java.text.DateFormat;
import java.util.Date;

private String formatDate(Date value)
{
   if(value == null)
   {
      return null;
   }
   else
   {
      DateFormat dateFormat = m_formats.getDateFormat();
      
      if(dateFormat == null)
      {
         throw new RuntimeException(""DateFormat is not initialized."");
      }
      
      return dateFormat.format(value);
   }
}
```"
Java,normal distribution,"    public static org.nd4j.linalg.api.rng.distribution.Distribution createDistribution(Distribution dist) {
        if (dist == null)
            return null;
        if (dist instanceof NormalDistribution) {
            NormalDistribution nd = (NormalDistribution) dist;
            return Nd4j.getDistributions().createNormal(nd.getMean(), nd.getStd());
        }
        if (dist instanceof GaussianDistribution) {
            GaussianDistribution nd = (GaussianDistribution) dist;
            return Nd4j.getDistributions().createNormal(nd.getMean(), nd.getStd());
        }
        if (dist instanceof UniformDistribution) {
            UniformDistribution ud = (UniformDistribution) dist;
            return Nd4j.getDistributions().createUniform(ud.getLower(), ud.getUpper());
        }
        if (dist instanceof BinomialDistribution) {
            BinomialDistribution bd = (BinomialDistribution) dist;
            return Nd4j.getDistributions().createBinomial(bd.getNumberOfTrials(), bd.getProbabilityOfSuccess());
        }
        if (dist instanceof LogNormalDistribution) {
            LogNormalDistribution lnd = (LogNormalDistribution) dist;
            return Nd4j.getDistributions().createLogNormal(lnd.getMean(), lnd.getStd());
        }
        if (dist instanceof TruncatedNormalDistribution) {
            TruncatedNormalDistribution tnd = (TruncatedNormalDistribution) dist;
            return Nd4j.getDistributions().createTruncatedNormal(tnd.getMean(), tnd.getStd());
        }
        if (dist instanceof OrthogonalDistribution) {
            OrthogonalDistribution od = (OrthogonalDistribution) dist;
            return Nd4j.getDistributions().createOrthogonal(od.getGain());
        }
        if (dist instanceof ConstantDistribution) {
            ConstantDistribution od = (ConstantDistribution) dist;
            return Nd4j.getDistributions().createConstant(od.getValue());
        }
        throw new RuntimeException(""unknown distribution type: "" + dist.getClass());
    }",Código em Conformidade,
