Language,Comment,SourceCode
Java,convert json to csv,"	private CSVSettings parseCsvSettings(JSONObject headRecord) throws Exception {
		JSONObject csv = headRecord.getJSONObject(""_csv"");
		
		CSVSettings csvSettings = new CSVSettings();
		
		JSONArray columnArr = csv.getJSONArray(""columns"");
		for(int i=0,e=columnArr.length(); i<e; ++i){
			Object columnObj = columnArr.get(i);
			if( columnObj instanceof JSONObject ){
				JSONObject jsonColumnDef = (JSONObject)columnObj;
				String name = jsonColumnDef.optString(""name"",null);
				String label = jsonColumnDef.optString(""label"",null);
				
				if( null == name ){
					throw new Exception(""Column definition must have a name"");
				}
				if( null == label ){
					label = name;
				}
				
				CSVColumn csvColumn = new CSVColumn();
				csvColumn.setName(name);
				csvColumn.setLabel(label);
				
				csvSettings.addColumn(csvColumn);
				
			} else {
				throw new Exception(""_csv.columns must be array of column definitions (objects)"");
			}
		}
		
		return csvSettings;
	}"
Java,filter array,"  public FilterReply getFilterChainDecision(E event) {
    final Filter<E>[] filterArrray = filterList.asTypedArray();
    final int len = filterArrray.length;

    for (int i = 0; i < len; i++) {
      final FilterReply r = filterArrray[i].decide(event);
      if (r == FilterReply.DENY || r == FilterReply.ACCEPT) {
        return r;
      }
    }

    // no decision
    return FilterReply.NEUTRAL;
  }"
Java,get the description of a http status code,"    @Nullable
    public String getGpsStatusDescription()
    {
        final String value = _directory.getString(TAG_STATUS);
        if (value == null)
            return null;
        String gpsStatus = value.trim();
        if (""A"".equalsIgnoreCase(gpsStatus)) {
            return ""Active (Measurement in progress)"";
        } else if (""V"".equalsIgnoreCase(gpsStatus)) {
            return ""Void (Measurement Interoperability)"";
        } else {
            return ""Unknown ("" + gpsStatus + "")"";
        }
    }"
Java,how to determine a string is a valid word,"    public static void main(String[] args) throws IOException {

      String serializedClassifier = ""classifiers/english.all.3class.distsim.crf.ser.gz"";

      if (args.length > 0) {
        serializedClassifier = args[0];
      }

      AbstractSequenceClassifier<CoreLabel> classifier = CRFClassifier.getClassifierNoExceptions(serializedClassifier);

      /* For either a file to annotate or for the hardcoded text example,
         this demo file shows two ways to process the output, for teaching
         purposes.  For the file, it shows both how to run NER on a String
         and how to run it on a whole file.  For the hard-coded String,
         it shows how to run it on a single sentence, and how to do this
         and produce an inline XML output format.
      */
      if (args.length > 1) {
        String fileContents = IOUtils.slurpFile(args[1]);
        List<List<CoreLabel>> out = classifier.classify(fileContents);
        for (List<CoreLabel> sentence : out) {
          for (CoreLabel word : sentence) {
            System.out.print(word.word() + '/' + word.get(AnswerAnnotation.class) + ' ');
          }
          System.out.println();
        }
        out = classifier.classifyFile(args[1]);
        for (List<CoreLabel> sentence : out) {
          for (CoreLabel word : sentence) {
            System.out.print(word.word() + '/' + word.get(AnswerAnnotation.class) + ' ');
          }
          System.out.println();
        }

      } else {
        String s1 = ""Good afternoon Rajat Raina, how are you today?"";
        String s2 = ""I go to school at Stanford University, which is located in California."";
        System.out.println(classifier.classifyToString(s1));
        System.out.println(classifier.classifyWithInlineXML(s2));
        System.out.println(classifier.classifyToString(s2, ""xml"", true));
        int i=0;
        for (List<CoreLabel> lcl : classifier.classify(s2)) {
          for (CoreLabel cl : lcl) {
            System.out.println(i++ + "":"");
            System.out.println(cl);
          }
        }
      }
    }"
Java,all permutations of a list,"	public void completeGroup() {
		// Copy initial set to allow permutations to grow
		List<List<Integer>> gens = new ArrayList<List<Integer>>(permutations);
		// Keep HashSet version of permutations for fast lookup.
		Set<List<Integer>> known = new HashSet<List<Integer>>(permutations);
		//breadth-first search through the map of all members
		List<List<Integer>> currentLevel = new ArrayList<List<Integer>>(permutations);
		while( currentLevel.size() > 0) {
			List<List<Integer>> nextLevel = new ArrayList<List<Integer>>();
			for( List<Integer> p : currentLevel) {
				for(List<Integer> gen : gens) {
					List<Integer> y = combine(p,gen);
					if(!known.contains(y)) {
						nextLevel.add(y);
						//bypass addPermutation(y) for performance
						permutations.add(y);
						known.add(y);
					}
				}
			}
			currentLevel = nextLevel;
		}
	}"
Java,randomly extract x items from a list,"    public void addExtractResultItem(ExtractResultItem extractResultItem) {
        List<ExtractResultItem> list = extractResultItems.get(extractResultItem.getField());
        if(list == null){
            list = new ArrayList<>();
            extractResultItems.put(extractResultItem.getField(), list);
        }
        list.add(extractResultItem);
    }"
Java,convert json to csv,"    private String convertToJson(Map<String, ?> map) throws MovieDbException {
        try {
            return MAPPER.writeValueAsString(map);
        } catch (JsonProcessingException ex) {
            throw new MovieDbException(ApiExceptionType.MAPPING_FAILED, ""JSON conversion failed"", """", ex);
        }
    }"
Java,string to date,"	public static Date dateStringToDate(String dateString){
		SimpleDateFormat sdf=new SimpleDateFormat(DateTimeKit.FULL_DATE_24HR_STYLE);
		Date date = null;
		try {
			date = sdf.parse(dateString);
		} catch (ParseException e) {}  
		return date;
	}"
Java,get name of enumerated value,"    private void parseAttDef(String elementName) throws Exception {
        String name;
        String type;
        String enumer = null;

        // Read the attribute name.
        name = readNmtoken(true);

        // Read the attribute type.
        requireWhitespace();
        type = readAttType();

        // Get the string of enumerated values if necessary.
        if (handler.stringInterning) {
            if ((""ENUMERATION"" == type) || (""NOTATION"" == type)) {
                enumer = dataBufferToString();
            }
        } else {
            if (""ENUMERATION"".equals(type) || ""NOTATION"".equals(type)) {
                enumer = dataBufferToString();
            }
        }

        // Read the default value.
        requireWhitespace();
        parseDefault(elementName, name, type, enumer);
    }"
Java,print model summary,"	private void printSummary(PMML pmml){
		MemoryMeasurer measurer = new MemoryMeasurer();
		measurer.applyTo(pmml);

		NumberFormat numberFormat = NumberFormat.getInstance(Locale.US);
		numberFormat.setGroupingUsed(true);

		long size = measurer.getSize();
		System.out.println(""Bytesize of the object graph: "" + numberFormat.format(size));

		Set<Object> objects = measurer.getObjects();
		System.out.println(""Number of distinct Java objects in the object graph: "" + numberFormat.format(objects.size()));
	}"
Java,how to make the checkbox checked,"    public void uncheckCheckboxInCell(int row, int column) {
        String checkboxLocator = getXPathBase() + ""tr["" + row + ""]/td["" + column + ""]/input"";
        CheckBox cb = new CheckBox(checkboxLocator);
        cb.uncheck();
    }"
Java,initializing array,"    private void initEmptyArray() {
        String[] emptyArray = {};
        spinner7 = findViewById(R.id.spinner7);
        spinner7.setAdapter(new ArrayAdapter<>(this, android.R.layout.simple_spinner_item, emptyArray));
    }"
Java,convert int to string,"  private static int toInt(String str, int defaultVal) {
    try {
      return Integer.parseInt(str.trim());
    } catch (Exception e) {
      return defaultVal;
    }
  }"
Java,unique elements,"	private String uniquify(String uniqueID)
	{
		while (uniqueIds.contains(uniqueID))
		{
			uniqueID = uniqueID + '\u200B';
		}
		uniqueIds.add(uniqueID);
		return uniqueID;
	}"
Java,copy to clipboard,"    protected void copyToClipboard(String toolTip) {
        Object[] data = new Object[] { toolTip };
        Transfer[] transfer = new Transfer[] { TextTransfer.getInstance() };
        Clipboard clipboard = new Clipboard(Display.getCurrent());
        clipboard.setContents(data, transfer);
        clipboard.dispose();
    }"
Java,sorting multiple arrays based on another arrays sorted order,"    public static <T extends Comparable<? super T>>  int[] sort(T[] arr) {
        int[] order = new int[arr.length];
        for (int i = 0; i < order.length; i++) {
            order[i] = i;
        }
        sort(arr, order);
        return order;
    }"
Java,readonly array,"    private @NotNull List<?> readArray(@NotNull Array array) {
        try {
            boolean allowNulls = !TypeUtils.isPrimitive(elementType);
            ResultSet resultSet = array.getResultSet();
            try {
                NamedTypeList types = NamedTypeList.builder(1).add(""value"", ResultSetUtils.getColumnType(resultSet.getMetaData(), 2)).build();
                Instantiator<?> ctor = instantiatorRegistry.findInstantiator(elementType, types);
                ArrayList<Object> result = new ArrayList<>();

                // For performance reasons we reuse the same arguments-array and InstantiatorArguments-object for all rows.
                // This should be fine as long as the instantiators don't hang on to their arguments for too long.
                Object[] arguments = new Object[1];
                InstantiatorArguments instantiatorArguments = new InstantiatorArguments(types, arguments);

                while (resultSet.next()) {
                    arguments[0] = resultSet.getObject(2);

                    Object value = ctor.instantiate(instantiatorArguments);
                    if (value != null || allowNulls)
                        result.add(value);
                    else
                        throw new UnexpectedResultException(""Expected "" + elementType + "", but got null"");
                }

                return result;

            } finally {
                try {
                    resultSet.close();
                } finally {
                    SqlUtils.freeArray(array);
                }
            }

        } catch (SQLException e) {
            throw new DatabaseSQLException(e);
        }
    }"
Java,format date,"   private String formatDate(Date value)
   {
      return (value == null ? null : m_formats.getDateFormat().format(value));
   }"
Java,normal distribution,"    public static org.nd4j.linalg.api.rng.distribution.Distribution createDistribution(Distribution dist) {
        if (dist == null)
            return null;
        if (dist instanceof NormalDistribution) {
            NormalDistribution nd = (NormalDistribution) dist;
            return Nd4j.getDistributions().createNormal(nd.getMean(), nd.getStd());
        }
        if (dist instanceof GaussianDistribution) {
            GaussianDistribution nd = (GaussianDistribution) dist;
            return Nd4j.getDistributions().createNormal(nd.getMean(), nd.getStd());
        }
        if (dist instanceof UniformDistribution) {
            UniformDistribution ud = (UniformDistribution) dist;
            return Nd4j.getDistributions().createUniform(ud.getLower(), ud.getUpper());
        }
        if (dist instanceof BinomialDistribution) {
            BinomialDistribution bd = (BinomialDistribution) dist;
            return Nd4j.getDistributions().createBinomial(bd.getNumberOfTrials(), bd.getProbabilityOfSuccess());
        }
        if (dist instanceof LogNormalDistribution) {
            LogNormalDistribution lnd = (LogNormalDistribution) dist;
            return Nd4j.getDistributions().createLogNormal(lnd.getMean(), lnd.getStd());
        }
        if (dist instanceof TruncatedNormalDistribution) {
            TruncatedNormalDistribution tnd = (TruncatedNormalDistribution) dist;
            return Nd4j.getDistributions().createTruncatedNormal(tnd.getMean(), tnd.getStd());
        }
        if (dist instanceof OrthogonalDistribution) {
            OrthogonalDistribution od = (OrthogonalDistribution) dist;
            return Nd4j.getDistributions().createOrthogonal(od.getGain());
        }
        if (dist instanceof ConstantDistribution) {
            ConstantDistribution od = (ConstantDistribution) dist;
            return Nd4j.getDistributions().createConstant(od.getValue());
        }
        throw new RuntimeException(""unknown distribution type: "" + dist.getClass());
    }"
Java,how to get current date,"    @NonNull
    public static String getNowDateTime(@NonNull String format) {
        SimpleDateFormat formatter = new SimpleDateFormat(format, Locale.ENGLISH);
        Date curDate = new Date(System.currentTimeMillis());
        return formatter.format(curDate);
    }"
Java,readonly array,"  public void switchReadOnlyConnection(Boolean mustBeReadOnly) throws SQLException {
    if (urlParser.getOptions().assureReadOnly && currentReadOnlyAsked != mustBeReadOnly) {
      proxy.lock.lock();
      try {
        // verify not updated now that hold lock, double check safe due to volatile
        if (currentReadOnlyAsked != mustBeReadOnly) {
          currentReadOnlyAsked = mustBeReadOnly;
          setSessionReadOnly(mustBeReadOnly, currentProtocol);
        }
      } finally {
        proxy.lock.unlock();
      }
    }
  }"
Java,initializing array,"    public void init(String pin) {
        keygen.setWallet(getDescriptor(false));
        log.info( ""Initializing wallet: "" + descriptor.key + "" pin enabled: "" + pinEnabled);
        try {
            keygen.init(pinEnabled, pinSalt, pin);
        } catch (Exception e) {
            System.out.println(""Error while initializing Keygen..."");
            log.error(""Error initializing wallet: "" + descriptor.key + "" pin enabled: "" + pinEnabled);
        }
    }"
Java,string to date,"	public String toDateStr() {
		if (null != this.timeZone) {
			final SimpleDateFormat simpleDateFormat = new SimpleDateFormat(DatePattern.NORM_DATE_PATTERN);
			simpleDateFormat.setTimeZone(this.timeZone);
			return toString(simpleDateFormat);
		}
		return toString(DatePattern.NORM_DATE_FORMAT);
	}"
Java,map to json,"    @SuppressWarnings(""unchecked"")
    public static Map<String, Object> deserialize(byte[] json) {
        try {
            return getsMapper().readValue(json, Map.class);
        } catch (RuntimeException e){
            throw e;
        } catch (Exception e) {
            throw new IllegalStateException(""Error converting byte[] to map object: "" +
                    bytesToString(json));
        }
    }"
Java,sending binary data over a serial connection,"    @Override
    public void sendBinary(@Sensitive ByteBuffer partialByte, boolean isLast) throws IOException {
        if (partialByte == null) {
            IllegalArgumentException up = new IllegalArgumentException();
            throw up;
        }

        impl.sendBinary(partialByte, OpcodeType.BINARY_WHOLE, isLast);
        return;

    }"
Java,parse command line argument,"  private <A extends ArgsBase>
  int parseCommandOption(Command<? super A> command,
                         A args,
                         String arg,
                         int i)
  {
    final String []argv = args.getRawArgv();
    OptionCommandLine<? super A> option = command.getOption(arg);

    if (option != null) {
      i = option.parse(args, argv, i);
    }
    else if (arg.startsWith(""--"") && arg.indexOf(""="") > 0) {
      int p = arg.indexOf(""="");
      
      String key = arg.substring(2, p);
      String value = arg.substring(p + 1);
      
      args.property(key, value);
    }
    else if (arg.startsWith(""-"")) {
      throw new CommandArgumentException(L.l(""'{0}' is an unexpected option for {1}."",
                                             arg,
                                             command.name()));
    }
    else if (command.getTailArgsMinCount() >= 0) {
      args.addTailArg(arg);
    }
    else {
      throw new CommandArgumentException(L.l(""'{0}' is an unexpected argument for {1}."",
                                             arg,
                                             command.name()));
    }

    return i;
  }"
Java,deserialize json,"  public WxCpTag deserialize(JsonElement json, Type typeOfT, JsonDeserializationContext context)
      throws JsonParseException {
    JsonObject jsonObject = json.getAsJsonObject();
    return new WxCpTag(GsonHelper.getString(jsonObject, ""tagid""), GsonHelper.getString(jsonObject, ""tagname""));
  }"
Java,get inner html,"  List<List<Double>> multiplyWithOutAMP(List<List<Double>> list1, List<List<Double>> list2) {
    List<List<Double>> c ;
    List<Double> cTemp;

    c = new ArrayList<>() ;
    for (int row = 0; row < list1.size(); row++) {
      cTemp = new ArrayList<>() ;
      for (int col = 0; col < list2.get(0).size(); col++) {
        cTemp.add(0.0);
      }
      c.add(cTemp);
    }

    for (int row = 0; row < list1.size(); row++) {
      for (int col = 0; col < list2.get(row).size(); col++) {
        for (int inner = 0; inner < list1.get(0).size(); inner++) {
          double val = c.get(row).get(col) ;
          c.get(row).set(col, val + list1.get(row).get(inner) * list2.get(inner).get(col));
        }
      }
    }
    return c;
  }"
Java,sorting multiple arrays based on another arrays sorted order,"    public void sortIndices(SortCoupledArray_F64 sorter ) {
        if( sorter == null )
            sorter = new SortCoupledArray_F64();

        sorter.quick(col_idx,numCols+1,nz_rows,nz_values);
        indicesSorted = true;
    }"
Java,pretty print json,"    public static String toPrettyJsonString(Object object) {
        try {
            return jsonMapper.writerWithDefaultPrettyPrinter()
                    .writeValueAsString(object);
        } catch (JsonProcessingException e) {
            return JMExceptionManager.handleExceptionAndReturnNull(log, e,
                    ""toPrettyJsonString"", object);
        }
    }"
Java,encrypt aes ctr mode,"	public void doAESDecryption(byte[] salt, byte[] iv) throws Exception{
		setSalt(salt);
		if(!initAESDone)
			initAES();
		Cipher cipher = Cipher.getInstance(""AES/CBC/PKCS5Padding"");
		cipher.init(Cipher.DECRYPT_MODE, secretKey, new IvParameterSpec(iv));
		secretPlain = cipher.doFinal(secretCipher);
	}"
Java,convert a utc time to epoch,"    private void readObject(java.io.ObjectInputStream in)
     throws IOException, ClassNotFoundException
    {
        this.timezoneSensitive = in.readBoolean();
        long time = in.readLong();
        if (!this.timezoneSensitive)
        {
            // convert the time from UTC to local
            int offset = getDefaultOffset(this);
            time -= offset;
        }
        this.setTime(time);
        this.setNanos(in.readInt());
    }"
Java,map to json,"	public Map<?, ?> formatJSON2Map(String json) {
		Map<?, ?> map = null;
		try {
			map = MAPPER.readValue(json, Map.class);
		} catch (Exception e) {
			LOGGER.error(""formatJsonToMap error, json = "" + json, e);
		}
		return map;
	}"
Java,how to get database table name,"    public String getTableNames(boolean bAddQuotes)
    {
        return (m_tableName == null) ? Record.formatTableNames(CLASS_FIELDS_FILE, bAddQuotes) : super.getTableNames(bAddQuotes);
    }"
Java,extracting data from a text file,"	private static DataSet<String> getTextDataSet(ExecutionEnvironment env) {
		if(fileOutput) {
			// read the text file from given input path
			return env.readTextFile(textPath);
		} else {
			// get default test text data
			return WordCountData.getDefaultTextLineDataSet(env);
		}
	}"
Java,how to get html of website,"    @RequestMapping(value = ""/isPageHtmlAvailable"", method = RequestMethod.GET)
    @ResponseBody
    public JsonObject<?> isPageHtmlAvailable(
            @RequestParam(value = ""url"", required = true) String url) {
        JsonObject<?> result = JsonObject.create();
        LOG.info(""Start to get page html of url="" + url);
        try {
            result.addData(""isAvailable"", StringUtils.isNotEmpty(pageFetcher.getPageHtml(url)));
        } catch (RuntimeException e) {
            LOG.error(""Failed to get page html of url="" + url + "" due to "" + e.getMessage(), e);
            return sysError(GlobalResponseStatusMsg.GET_HTML_PAGE_FAILED.getMessage(url)
                    .getMessage());
        }
        return result;
    }"
Java,priority queue,"	public Priority setPriority(Integer priority) {
		Priority prop = (priority == null) ? null : new Priority(priority);
		setPriority(prop);
		return prop;
	}"
Java,how to randomly pick a number,"    public static <T> T pickRandom (List<T> values, T skip, Random r)
    {
        int size = values.size();
        if (size < 2) {
            throw new IllegalArgumentException(
                ""Must have at least two elements [size="" + size + ""]"");
        }

        int pick = r.nextInt(size - 1);
        for (int ii = 0; ii < size; ii++) {
            T val = values.get(ii);
            if ((val != skip) && (pick-- == 0)) {
                return val;
            }
        }
        return null;
    }"
Java,deserialize json,"    public static <T> T deserialize(byte[] input, Class<T> classType)
            throws JsonParseException, JsonMappingException, IOException {
        return mapper.readValue(input, classType);
    }"
Java,get executable path,"  private String getModuleExecutable(String modulePath) {
    String executable = executableName == null ? moduleName : executableName;
    return modulePath + File.separator + ""bin"" + File.separator + executable;
  }"
Java,encode url,"	private static String urlEncodePair(String k, String v) throws UnsupportedEncodingException {
		return String.format(""%s=%s"", URLEncoder.encode(k, CHARSET), URLEncoder.encode(v, CHARSET));
	}"
Java,get current ip address,"    @Nullable
    @Override
    public IpAddress getIpAddress(@Nonnull String addressId) throws InternalException, CloudException {
        APITrace.begin(getProvider(), ""IpAddress.getIpAddress"");
        try{
            try{
                Compute gce = getProvider().getGoogleCompute();
                AddressAggregatedList addressList = gce.addresses().aggregatedList(getContext().getAccountNumber()).setFilter(""name eq "" + addressId).execute();
                if(addressList != null && addressList.getItems() != null && !addressList.getItems().isEmpty())        {
                    Iterator<String> regions = addressList.getItems().keySet().iterator();
                    while(regions.hasNext()){
                        String region = regions.next();
                        if(addressList.getItems() != null && addressList.getItems().get(region) != null && addressList.getItems().get(region).getAddresses() != null && !addressList.getItems().get(region).getAddresses().isEmpty()){
                            for(Address address : addressList.getItems().get(region).getAddresses()){
                                if(address.getName().equals(addressId))return toIpAddress(address);
                            }
                        }
                    }
                }
    	    } catch (IOException ex) {
	            logger.error(ex.getMessage());
    			if (ex.getClass() == GoogleJsonResponseException.class) {
    				GoogleJsonResponseException gjre = (GoogleJsonResponseException)ex;
    				throw new GoogleException(CloudErrorType.GENERAL, gjre.getStatusCode(), gjre.getContent(), gjre.getDetails().getMessage());
    			} else
                    throw new CloudException(""An error occurred getting the IPAddress: "" + ex.getMessage());
    		}
            throw new InternalException(""Could not find IPAddress: "" + addressId);
        }
        finally {
            APITrace.end();
        }
    }"
Java,group by count,"    private int countNonDefaultGroups(String pathTemplate) {
        int count = 0;
        for (String bit : pathTemplate.split(""/"")) {
            if (bit.startsWith(""{"") && bit.endsWith(""}"") && bit.contains("":"")) {
                count++;
            }
        }
        return count;
    }"
Java,positions of substrings in string,"    public TemplateFilter descriptionContains(String... substrings) {
        allItemsNotNull(substrings, ""Template description substrings"");

        predicate = predicate.and(combine(
            TemplateMetadata::getDescription, in(asList(substrings), Predicates::containsIgnoreCase)
        ));

        return this;
    }"
Java,normal distribution,"   @Override public double normal(double mean, double sd) {
      NormalDistribution normal = new NormalDistribution(mean, sd);
      return normal.sample();
   }"
Java,json to xml conversion,"	public static void xmlConversionTypeIncorrect(String conversionName,String xmlPath,String className,String type){
		throw new XmlConversionTypeException(MSG.INSTANCE.message(xmlConversionTypeException,conversionName,xmlPath,className,type));
	}"
Java,copy to clipboard,
Java,underline text in label widget,"    private void addErrorLabel(Validator validator, Label label, Widget widget) {
        errors.put(label, widget); // keep a list of the errors for easily iteration later
        validatorLabels.put(validator, label); // connect the label and the validator
    }"
Java,string to date,"    public static String dateToStrLong(Date dateDate) {
        String dateString = FORMATTER_LONG.format(dateDate);
        return dateString;
    }"
Java,how to read the contents of a .gz compressed file?,"  public Array readCompressedZlib(ucar.nc2.Variable v2, long dataPos, int nx, int ny, int[] origin, int[] shape, int[] stride) throws IOException, InvalidRangeException {

    long length = raf.length();

    raf.seek(dataPos);

    int data_size = (int) (length - dataPos);     //  or 5120 as read buffer size
    byte[] data = new byte[data_size];
    raf.readFully(data);

    // decompress the bytes
    int resultLength;
    int result = 0;
    byte[] tmp;
    int uncompLen;        /* length of decompress space    */
    byte[] uncomp = new byte[nx * (ny + 1) + 4000];
    Inflater inflater = new Inflater(false);

    inflater.setInput(data, 0, data_size);
    int offset = 0;
    int limit = nx * ny + nx;

    while (inflater.getRemaining() > 0) {
      try {
        resultLength = inflater.inflate(uncomp, offset, 4000);

      } catch (DataFormatException ex) {
        ex.printStackTrace();
        throw new IOException(ex.getMessage());
      }

      offset = offset + resultLength;
      result = result + resultLength;
      if ((result) > limit) {
        // when uncomp data larger then limit, the uncomp need to increase size
        tmp = new byte[result];
        System.arraycopy(uncomp, 0, tmp, 0, result);
        uncompLen = result + 4000;
        uncomp = new byte[uncompLen];
        System.arraycopy(tmp, 0, uncomp, 0, result);
      }

      if (resultLength == 0) {
        int tt = inflater.getRemaining();
        byte[] b2 = new byte[2];
        System.arraycopy(data, data_size - tt, b2, 0, 2);
        if (isZlibHed(b2) == 0) {
          System.arraycopy(data, data_size - tt, uncomp, result, tt);
          break;
        }
        inflater.reset();
        inflater.setInput(data, data_size - tt, tt);
      }

    }

    inflater.end();

    byte[] inflateData = new byte[nx * ny];
    System.arraycopy(uncomp, 0, inflateData, 0, nx * ny);
    Array array = Array.factory(DataType.BYTE, v2.getShape(), inflateData);
    if (array.getSize() < Variable.defaultSizeToCache)
      v2.setCachedData(array, false);
    return array.sectionNoReduce(origin, shape, stride);
  }"
Java,matrix multiply,"    public Matrix multiply(Matrix B)
    {
        Matrix C = new DenseMatrix(this.rows(), B.cols());
        multiply(B, C);
        return C;
    }"
Java,sort string list,"    public static String sort(String list, String sortType, String sortOrder, String delimiter) throws PageException {
	return _sort(toStringArray(listToArray(list, delimiter)), sortType, sortOrder, delimiter);
    }"
Java,convert decimal to hex,"    public static byte[] fromHex(String hex) {
        try {
            return Hex.decodeHex(hex.toCharArray());
        } catch (DecoderException e) {
            return null;
        }
    }"
Java,parse query string in url,"    private Object parseURL(URL url, Map params, String charset) {
            return parse(new StringReader( HTTP.getJSONWithParams ( url.toString (), null, params )));
    }"
